,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,brandName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
162,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9.0,70,4800,28,34,9258.0
142,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,97.2,172.0,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,7775.0
101,0,gas,std,four,sedan,4wd_fed,front,OHCV_DOHCV,five_six,mpfi_s,entry_level,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9.0,152,5200,17,22,13499.0
36,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295.0
88,level-1_-2,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0
24,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0
145,0,gas,turbo,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.0,172.0,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,11259.0
14,1_2_level_pos,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,103.5,189.0,66.9,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,24565.0
143,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.2,172.0,65.4,52.5,2340,108,3.62,2.64,9.0,94,5200,26,32,9960.0
48,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,high_end,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550.0
23,1_2_level_pos,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0
146,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,97.0,173.5,65.4,53.0,2290,108,3.62,2.64,9.0,82,4800,28,32,7463.0
12,0,gas,std,two,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,20970.0
135,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,15510.0
131,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,9895.0
108,0,diesel,turbo,four,sedan,rwd,front,I_Rotor,two_three_four,idi,mid_level,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21.0,95,4150,28,33,13200.0
144,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,97.0,172.0,65.4,54.3,2385,108,3.62,2.64,9.0,82,4800,24,25,9233.0
202,level-1_-2,gas,std,four,sedan,rwd,front,OHCV_DOHCV,five_six,mpfi_s,mid_level,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,21485.0
38,0,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9.0,86,5800,27,33,9095.0
22,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377.0
4,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,17450.0
169,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,98.4,176.2,65.6,52.0,2551,146,3.62,3.5,9.3,116,4800,24,30,9989.0
170,1_2_level_pos,gas,std,two,level_convertible_hardtop,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,98.4,176.2,65.6,52.0,2679,146,3.62,3.5,9.3,116,4800,24,30,11199.0
183,1_2_level_pos,gas,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9.0,85,5250,27,34,7975.0
64,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,11245.0
63,0,diesel,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,10795.0
116,0,diesel,turbo,four,sedan,rwd,front,I_Rotor,two_three_four,idi,mid_level,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,17950.0
3,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,13950.0
10,1_2_level_pos,gas,std,two,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430.0
19,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,6295.0
136,3,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9.0,160,5500,19,26,18150.0
53,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9.0,68,5000,31,38,6695.0
114,0,diesel,turbo,four,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,idi,mid_level,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21.0,95,4150,25,25,17075.0
137,1_2_level_pos,gas,turbo,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9.0,160,5500,19,26,18620.0
92,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,6849.0
47,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,high_end,113.0,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250.0
89,1_2_level_pos,gas,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,5499.0
138,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9.0,69,4900,31,36,5118.0
